docto_id,referencia,fecha,fecha_cancelacion,fecha_entrega,partidas,ubicacion,cliente,cantidad_pedida,cantidad_surtida,tarimas,estado,
INVS-CED-3-3-20260211-000000106,INVE-REF-CED-INV-3-3-20260211-000000105,"2026-02-11 13:17:34.445236","2026-03-13 13:17:34.445236",,52,STAR-1,INVENTARIOS,18.00,18.00,2,EMBARCADO
INVS-CED-3-3-20260228-000000269,INVE-REF-CED-INV-3-3-20260228-000000268,"2026-02-28 16:36:37.580041","2026-03-30 16:36:37.580041",,11,STAR-1,INVENTARIOS,55.00,55.00,11,EMBARCADO
DO_TR0003283301,ST-00032833-IFA3Z791519,"2026-02-03 07:56:21.789079","2026-03-05 07:56:21.789079",,13,ST01,"Cliente contenido en la orden: DO_TR0003239901",1602.00,1601.00,144,EMBARCADO
DO_TR0003378701,ST-00033787-IFA3Z420993,"2026-02-12 12:00:24.827798","2026-03-14 12:00:24.827799",,14,ST01,"Cliente contenido en la orden: DO_TR0003239901",467.00,177.00,24,EMBARCADO
INVS-CED-3-3-20260228-000000257,INVE-REF-CED-INV-3-3-20260228-000000256,"2026-02-28 13:38:16.901378","2026-03-30 13:38:16.901378",,9,STAR-1,INVENTARIOS,32.00,32.00,3,EMBARCADO
SAL-3-3-20260119-000000250,"MODERNA 31533","2026-01-19 20:31:59.683304","2026-02-18 20:31:59.683305",,3,ST01,DHL,5.00,5.00,3,EMBARCADO
DO_TR0003434401,ST-00034344-IFA3Z509597,"2026-02-19 12:48:16.522797","2026-03-21 12:48:16.522798",,14,ST02,"Cliente contenido en la orden: DO_TR0003239901",1414.00,1340.00,131,EMBARCADO
INVS-CED-3-3-20260224-000000186,INVE-REF-CED-INV-3-3-20260224-000000185,"2026-02-24 09:40:44.330884","2026-03-26 09:40:44.330884",,22,STAR-1,INVENTARIOS,59.00,59.00,6,EMBARCADO
DO_117553911372,62505299-IFA3Z959556,"2026-02-23 20:20:22.062156","2026-03-25 20:20:22.062156",,1,ST06,COPPEL,24.00,24.00,2,EMBARCADO
DO_TR0003239901,ST-00032399-IFA3Z827752,"2026-01-22 13:11:38.823212","2026-02-21 13:11:38.823213",,40,ST01,"Cliente contenido en la orden: DO_TR0003239901",4847.00,4811.00,434,EMBARCADO
INVS-CED-3-3-20260205-000000012,INVE-REF-CED-INV-3-3-20260205-000000011,"2026-02-05 19:25:19.995436","2026-03-07 19:25:19.995436",,12,STAR-1,INVENTARIOS,12.00,12.00,1,EMBARCADO
